"OverallQual";"YearBuilt";"YearRemodAdd";"MasVnrArea";"Foundation";"BsmtFinType1";"BsmtFinSF1";"TotalBsmtSF";"HeatingQC";"1stFlrSF";"2ndFlrSF";"GrLivArea";"FullBath";"Fireplaces";"FireplaceQu";"GarageCars";"GarageArea";"WoodDeckSF";"OpenPorchSF";"SaleType";"SaleCondition";"SalePrice"
7;2003;2003;196;"PConc";"GLQ";706;856;"Ex";856;854;1710;2;0;"NA";2;548;0;61;"WD";"Normal";208500
6;1976;1976;0;"CBlock";"ALQ";978;1262;"Ex";1262;0;1262;2;1;"TA";2;460;298;0;"WD";"Normal";181500
7;2001;2002;162;"PConc";"GLQ";486;920;"Ex";920;866;1786;2;1;"TA";2;608;0;42;"WD";"Normal";223500
7;1915;1970;0;"BrkTil";"ALQ";216;756;"Gd";961;756;1717;1;1;"Gd";3;642;0;35;"WD";"Abnorml";140000
8;2000;2000;350;"PConc";"GLQ";655;1145;"Ex";1145;1053;2198;2;1;"TA";3;836;192;84;"WD";"Normal";250000
5;1993;1995;0;"Wood";"GLQ";732;796;"Ex";796;566;1362;1;0;"NA";2;480;40;30;"WD";"Normal";143000
8;2004;2005;186;"PConc";"GLQ";1369;1686;"Ex";1694;0;1694;2;1;"Gd";2;636;255;57;"WD";"Normal";307000
7;1973;1973;240;"CBlock";"ALQ";859;1107;"Ex";1107;983;2090;2;2;"TA";2;484;235;204;"WD";"Normal";200000
7;1931;1950;0;"BrkTil";"Unf";0;952;"Gd";1022;752;1774;2;2;"TA";2;468;90;0;"WD";"Abnorml";129900
5;1939;1950;0;"BrkTil";"GLQ";851;991;"Ex";1077;0;1077;1;2;"TA";1;205;0;4;"WD";"Normal";118000
5;1965;1965;0;"CBlock";"Rec";906;1040;"Ex";1040;0;1040;1;0;"NA";1;384;0;0;"WD";"Normal";129500
9;2005;2006;286;"PConc";"GLQ";998;1175;"Ex";1182;1142;2324;3;2;"Gd";3;736;147;21;"New";"Partial";345000
5;1962;1962;0;"CBlock";"ALQ";737;912;"TA";912;0;912;1;0;"NA";1;352;140;0;"WD";"Normal";144000
7;2006;2007;306;"PConc";"Unf";0;1494;"Ex";1494;0;1494;2;1;"Gd";3;840;160;33;"New";"Partial";279500
6;1960;1960;212;"CBlock";"BLQ";733;1253;"TA";1253;0;1253;1;1;"Fa";1;352;0;213;"WD";"Normal";157000
7;1929;2001;0;"BrkTil";"Unf";0;832;"Ex";854;0;854;1;0;"NA";2;576;48;112;"WD";"Normal";132000
6;1970;1970;180;"CBlock";"ALQ";578;1004;"Ex";1004;0;1004;1;1;"TA";2;480;0;0;"WD";"Normal";149000
4;1967;1967;0;"Slab";"NA";0;0;"TA";1296;0;1296;2;0;"NA";2;516;0;0;"WD";"Normal";90000
5;2004;2004;0;"PConc";"GLQ";646;1114;"Ex";1114;0;1114;1;0;"NA";2;576;0;102;"WD";"Normal";159000
5;1958;1965;0;"CBlock";"LwQ";504;1029;"TA";1339;0;1339;1;0;"NA";1;294;0;0;"COD";"Abnorml";139000
8;2005;2006;380;"PConc";"Unf";0;1158;"Ex";1158;1218;2376;3;1;"Gd";3;853;240;154;"New";"Partial";325300
7;1930;1950;0;"PConc";"Unf";0;637;"Ex";1108;0;1108;1;1;"Gd";1;280;0;0;"WD";"Normal";139400
8;2002;2002;281;"PConc";"Unf";0;1777;"Ex";1795;0;1795;2;1;"Gd";2;534;171;159;"WD";"Normal";230000
5;1976;1976;0;"PConc";"GLQ";840;1040;"TA";1060;0;1060;1;1;"TA";2;572;100;110;"WD";"Normal";129900
5;1968;2001;0;"CBlock";"Rec";188;1060;"Ex";1060;0;1060;1;1;"TA";1;270;406;90;"WD";"Normal";154000
8;2007;2007;640;"PConc";"Unf";0;1566;"Ex";1600;0;1600;2;1;"Gd";3;890;0;56;"WD";"Normal";256300
5;1951;2000;0;"CBlock";"BLQ";234;900;"TA";900;0;900;1;0;"NA";2;576;222;32;"WD";"Normal";134800
8;2007;2008;200;"PConc";"GLQ";1218;1704;"Ex";1704;0;1704;2;1;"Gd";3;772;0;50;"WD";"Normal";306000
5;1957;1997;0;"CBlock";"BLQ";1277;1484;"TA";1600;0;1600;1;2;"Gd";1;319;288;258;"WD";"Normal";207500
4;1927;1950;0;"BrkTil";"Unf";0;520;"Fa";520;0;520;1;0;"NA";1;240;49;0;"WD";"Normal";68500
4;1920;1950;0;"BrkTil";"Unf";0;649;"TA";649;668;1317;1;0;"NA";1;250;0;54;"WD";"Normal";40000
5;1966;2006;0;"CBlock";"Unf";0;1228;"Gd";1228;0;1228;1;0;"NA";1;271;0;65;"WD";"Normal";149350
8;2007;2007;0;"PConc";"Unf";0;1234;"Ex";1234;0;1234;2;0;"NA";2;484;0;30;"WD";"Normal";179900
5;1959;1959;0;"CBlock";"Rec";1018;1398;"Gd";1700;0;1700;1;1;"Gd";2;447;0;38;"WD";"Normal";165500
9;2005;2005;246;"PConc";"GLQ";1153;1561;"Ex";1561;0;1561;2;1;"Gd";2;556;203;47;"WD";"Normal";277500
8;2004;2005;132;"PConc";"Unf";0;1117;"Ex";1132;1320;2452;3;1;"Gd";3;691;113;32;"WD";"Normal";309000
5;1994;1995;0;"PConc";"Unf";0;1097;"Ex";1097;0;1097;1;0;"NA";2;672;392;64;"WD";"Normal";145000
5;1954;1990;650;"CBlock";"Rec";1213;1297;"Gd";1297;0;1297;1;1;"TA";2;498;0;0;"WD";"Normal";153000
5;1953;2007;0;"CBlock";"GLQ";731;1057;"TA";1057;0;1057;1;0;"NA";1;246;0;52;"WD";"Abnorml";109000
4;1955;1955;0;"PConc";"NA";0;0;"TA";1152;0;1152;2;0;"NA";0;0;0;0;"WD";"AdjLand";82000
6;1965;1965;101;"CBlock";"Rec";643;1088;"Ex";1324;0;1324;2;1;"TA";2;440;0;138;"WD";"Abnorml";160000
5;1959;1959;0;"CBlock";"BLQ";967;1350;"Gd";1328;0;1328;1;2;"Gd";1;308;0;104;"WD";"Normal";170000
5;1983;1983;0;"CBlock";"ALQ";747;840;"Gd";884;0;884;1;0;"NA";2;504;240;0;"WD";"Normal";144000
5;1975;1980;0;"CBlock";"LwQ";280;938;"TA";938;0;938;1;0;"NA";1;308;145;0;"WD";"Normal";130250
5;1959;1959;0;"CBlock";"ALQ";179;1150;"Ex";1150;0;1150;1;0;"NA";1;300;0;0;"WD";"Normal";141000
9;2005;2005;412;"PConc";"GLQ";456;1752;"Ex";1752;0;1752;2;1;"Gd";2;576;196;82;"WD";"Normal";319900
7;2003;2003;0;"PConc";"GLQ";1351;1434;"Ex";1518;631;2149;1;1;"Ex";2;670;168;43;"WD";"Abnorml";239686
8;2006;2006;0;"PConc";"GLQ";24;1656;"Ex";1656;0;1656;2;0;"NA";3;826;0;146;"WD";"Normal";249700
4;1920;2008;0;"BrkTil";"Unf";0;736;"Gd";736;716;1452;2;0;"NA";0;0;0;0;"New";"Partial";113000
5;1966;1966;0;"CBlock";"BLQ";763;955;"Ex";955;0;955;1;0;"NA";1;386;0;0;"WD";"Normal";127000
6;1997;1997;0;"PConc";"GLQ";182;794;"Gd";794;676;1470;2;0;"NA";2;388;0;75;"WD";"Normal";177000
6;1934;1950;0;"PConc";"Unf";0;816;"TA";816;0;1176;1;1;"Gd";2;528;112;0;"WD";"Normal";114500
5;1963;1963;0;"CBlock";"LwQ";104;816;"TA";816;0;816;1;0;"NA";2;516;106;0;"WD";"Normal";110000
9;1981;1987;0;"CBlock";"GLQ";1810;1842;"Gd";1842;0;1842;0;1;"Gd";3;894;857;72;"WD";"Normal";385000
5;1955;1955;0;"CBlock";"ALQ";384;384;"TA";1360;0;1360;1;1;"TA";2;572;0;50;"WD";"Normal";130000
6;1964;1964;272;"CBlock";"BLQ";490;1425;"Gd";1425;0;1425;2;1;"Gd";2;576;0;0;"WD";"Normal";180500
8;1999;2000;456;"PConc";"GLQ";649;970;"Ex";983;756;1739;2;0;"NA";2;480;115;0;"WD";"Abnorml";172500
7;2004;2004;0;"PConc";"Unf";0;860;"Ex";860;860;1720;2;0;"NA";2;565;0;70;"WD";"Normal";196500
10;2006;2006;1031;"PConc";"Unf";0;1410;"Ex";1426;1519;2945;3;1;"Gd";3;641;192;0;"New";"Partial";438780
5;1972;1972;0;"CBlock";"ALQ";632;780;"Ex";780;0;780;1;0;"NA";1;352;196;0;"WD";"Normal";124900
6;2004;2004;0;"PConc";"ALQ";941;1158;"Ex";1158;0;1158;1;0;"NA";2;576;0;50;"New";"Partial";158000
5;1920;1996;0;"BrkTil";"Unf";0;530;"TA";581;530;1111;1;0;"NA";1;288;0;0;"WD";"Normal";101000
8;2006;2006;178;"PConc";"GLQ";24;1370;"Ex";1370;0;1370;2;1;"Gd";2;484;120;49;"WD";"Normal";202500
7;1921;1950;0;"BrkTil";"Unf";0;576;"Gd";902;808;1710;2;0;"NA";2;480;12;11;"WD";"Normal";140000
7;1997;1998;573;"PConc";"GLQ";739;1057;"Ex";1057;977;2034;2;0;"NA";2;645;576;36;"WD";"Normal";219500
8;2004;2005;344;"PConc";"Unf";0;1143;"Ex";1143;1330;2473;2;1;"Gd";3;852;192;151;"WD";"Normal";317000
7;1970;1989;287;"CBlock";"GLQ";912;1947;"TA";2207;0;2207;2;1;"Gd";2;576;301;0;"WD";"Normal";180000
7;2003;2003;167;"PConc";"GLQ";1013;1453;"Ex";1479;0;1479;2;0;"NA";2;558;144;29;"WD";"Normal";226000
4;1945;1950;0;"CBlock";"Unf";0;747;"TA";747;0;747;1;0;"NA";1;220;0;0;"WD";"Normal";80000
7;1953;1953;0;"CBlock";"BLQ";603;1304;"TA";1304;983;2287;2;1;"TA";2;667;0;21;"WD";"Normal";225000
7;1973;1973;1115;"CBlock";"ALQ";1880;2223;"Ex";2223;0;2223;2;2;"Gd";2;516;300;0;"WD";"Normal";244000
4;1982;2006;0;"CBlock";"ALQ";565;845;"TA";845;0;845;1;0;"NA";2;360;0;0;"WD";"Normal";129500
7;1998;1998;40;"PConc";"Unf";0;832;"Gd";885;833;1718;2;1;"TA";2;427;0;94;"WD";"Normal";185000
5;1954;2003;104;"CBlock";"ALQ";320;1086;"Gd";1086;0;1086;1;0;"NA";2;490;0;0;"WD";"Normal";144900
3;1915;1950;0;"CBlock";"Unf";0;840;"Gd";840;765;1605;2;0;"NA";1;379;0;0;"WD";"Normal";107400
4;1973;1973;0;"CBlock";"GLQ";462;462;"TA";526;462;988;1;0;"NA";1;297;120;101;"WD";"Normal";91000
4;1956;1956;0;"CBlock";"ALQ";228;952;"Ex";952;0;952;1;0;"NA";1;283;0;0;"WD";"Normal";135750
5;1948;2001;0;"CBlock";"BLQ";336;672;"TA";1072;213;1285;1;0;"NA";1;240;0;0;"WD";"Normal";127000
4;1968;1968;0;"CBlock";"Unf";0;1768;"TA";1768;0;1768;2;0;"NA";0;0;0;0;"WD";"Normal";136500
5;1910;1981;0;"PConc";"Unf";0;440;"Gd";682;548;1230;1;0;"NA";2;440;74;0;"WD";"Normal";110000
6;1968;1968;576;"CBlock";"Rec";448;896;"TA";1182;960;2142;2;1;"Gd";1;509;0;72;"WD";"Normal";193500
6;1998;1998;443;"PConc";"GLQ";1201;1237;"Ex";1337;0;1337;2;0;"NA";2;405;0;199;"WD";"Normal";153500
8;2007;2007;468;"PConc";"GLQ";33;1563;"Ex";1563;0;1563;2;1;"Gd";3;758;144;99;"WD";"Normal";245000
5;1960;1960;66;"CBlock";"Unf";0;1065;"Gd";1065;0;1065;1;0;"NA";2;461;74;0;"COD";"Normal";126500
7;1995;1996;22;"PConc";"Unf";0;384;"Gd";804;670;1474;2;1;"TA";2;400;120;72;"WD";"Normal";168500
8;1991;1992;284;"CBlock";"Unf";0;1288;"Ex";1301;1116;2417;2;1;"TA";2;462;127;82;"WD";"Normal";260000
6;2005;2005;0;"PConc";"Unf";0;684;"Ex";684;876;1560;2;1;"Gd";2;400;100;38;"WD";"Normal";174000
6;2009;2009;76;"PConc";"Unf";0;612;"Ex";612;612;1224;2;0;"NA";2;528;0;234;"New";"Partial";164500
3;1915;1982;0;"CBlock";"Unf";0;1013;"TA";1013;0;1526;1;0;"NA";0;0;0;0;"ConLD";"Abnorml";85000
4;1994;1995;0;"PConc";"GLQ";588;990;"Ex";990;0;990;1;0;"NA";0;0;0;0;"WD";"Normal";123600
4;1950;1950;0;"Slab";"NA";0;0;"TA";1040;0;1040;1;0;"NA";2;420;0;29;"WD";"Normal";109900
5;1961;1961;203;"CBlock";"Rec";600;1235;"TA";1235;0;1235;1;0;"NA";2;480;0;0;"WD";"Abnorml";98600
5;1921;2006;0;"BrkTil";"ALQ";713;876;"Ex";964;0;964;1;0;"NA";2;432;0;0;"WD";"Normal";163500
6;1910;1998;0;"BrkTil";"Rec";1046;1214;"Ex";1260;1031;2291;2;1;"Gd";2;506;0;0;"WD";"Normal";133900
6;1997;1997;0;"PConc";"GLQ";648;824;"Ex";905;881;1786;2;0;"NA";2;684;0;162;"WD";"Normal";204750
6;1993;1993;68;"PConc";"ALQ";310;680;"Gd";680;790;1470;2;1;"TA";2;420;232;63;"WD";"Normal";185000
